z,n,halflife(Seconds)
1,0,STABLE
1,1,STABLE
2,1,STABLE
3,1,2.2784999999999998e-21
1,2,388855902.96000004
2,2,STABLE
3,2,5.605109999999999e-22
4,2,4.19244e-17
5,2,3.650157e-16
6,2,5.924100000000001e-17
1,3,1.5038099999999997e-21
2,3,3.276483e-16
3,3,STABLE
4,3,4605120
5,3,0.7721
6,3,0.1265
7,3,1.1392499999999999e-21
8,3,1.052667e-21
1,4,2.41521e-21
2,4,0.8071200000000001
3,4,STABLE
4,4,2.538249e-15
5,4,2.46078e-13
6,4,19.3015
7,4,3.55446e-16
8,4,2.32407e-17
1,5,6.8355e-22
2,5,8.88615e-17
3,5,0.83879
4,5,STABLE
5,5,STABLE
6,5,1220.406
7,5,0.010996
8,5,0.00858
9,5,4.14687e-16
10,5,2.68863e-22
1,6,8.202599999999999e-23
2,6,0.11900000000000001
3,6,0.178
4,6,43725800311200
5,6,STABLE
6,6,STABLE
7,6,598.02
8,6,70.6183
9,6,1.7316599999999998e-22
10,6,3.6456e-17
12,6,5.24055e-17
2,7,8.2026e-17
3,7,1.04811e-22
4,7,13.77
5,7,0.02022
6,7,STABLE
7,7,STABLE
8,7,122.268
9,7,1.052667e-17
10,7,0.1091
11,7,9.114e-23
12,7,3.5000000000000004e-12
2,8,8.202599999999999e-22
3,8,0.00875
4,8,0.02146
5,8,0.01716
6,8,179436513600
7,8,STABLE
8,8,STABLE
9,8,64.368
10,8,1.66432
11,8,1.8228e-17
12,8,0.09040000000000001
13,8,3.5e-8
14,8,0.028399999999999998
4,9,2.05065e-16
5,9,0.01234
6,9,2.451
7,9,7.13
8,9,STABLE
9,9,6584.04
10,9,17.2569
11,9,0.448
12,9,0.12
13,9,0.0886
14,9,0.047
3,10,5.69625e-17
4,10,0.0046500000000000005
5,10,0.01018
6,10,0.75
7,10,4.171
8,10,STABLE
9,10,STABLE
10,10,STABLE
11,10,22.4548
12,10,3.87445
13,10,0.447
14,10,0.1414
15,10,3.0000000000000004e-8
16,10,7.9e-8
4,11,2.6430600000000003e-16
5,11,4.557e-17
6,11,0.193
7,11,0.619
8,11,26.47
9,11,11.0064
10,11,STABLE
11,11,82109719.44
12,11,11.3042
13,11,2.053
14,11,0.2192
15,11,0.0436
16,11,0.016300000000000002
4,12,3.6456e-22
5,12,0.005070000000000001
6,12,0.092
7,12,0.336
8,12,13.51
9,12,4.158
10,12,STABLE
11,12,STABLE
12,12,STABLE
13,12,7.1666
14,12,2.2452
15,12,0.26
16,12,0.125
17,12,2e-8
18,12,1e-11
19,12,1.0000000000000001e-11
6,13,0.0463
7,13,0.136
8,13,3.42
9,13,4.23
10,13,37.148
11,13,53848.08
12,13,STABLE
13,13,22613986814400
14,13,4.111
15,13,0.27030000000000004
16,13,0.188
17,13,3.0000000000000004e-8
18,13,0.015
5,14,0.00292
6,14,0.016
7,14,0.0853
8,14,2.19
9,14,2.23
10,14,202.79999999999998
11,14,58.9
12,14,STABLE
13,14,STABLE
14,14,STABLE
15,14,4.1022
16,14,1.17976
17,14,0.19
18,14,0.098
5,15,2.2785e-16
7,15,0.0209
8,15,0.096
9,15,0.384
10,15,0.602
11,15,1.07128
12,15,566.1
13,15,134.898
14,15,STABLE
15,15,150
16,15,2.5534
17,15,0.29910000000000003
18,15,0.17300000000000001
20,15,0.0257
5,16,2.7342e-16
6,16,0.0060999999999999995
7,16,0.0141
8,16,0.07200000000000001
9,16,0.081
10,16,0.196
11,16,0.301
12,16,75294
13,16,393.59999999999997
14,16,STABLE
15,16,STABLE
16,16,STABLE
17,16,2.506
18,16,0.8464600000000001
19,16,0.178
20,16,0.1008
7,17,5.2e-8
8,17,4.01016e-17
9,17,0.0086
10,17,0.0309
11,17,0.0346
12,17,1.31
13,17,3.61
14,17,9434.400000000001
15,17,1232668.8
16,17,STABLE
17,17,1.5265
18,17,1.7754
19,17,0.341
20,17,0.181
22,17,0.0285
8,18,4.5e-12
9,18,0.0053
10,18,0.0187
11,18,0.0432
12,18,0.314
13,18,0.644
14,18,5153356080
15,18,2190240
16,18,STABLE
17,18,STABLE
18,18,STABLE
19,18,1.23647
20,18,0.44377
22,18,0.0524
24,18,0.013300000000000001
9,19,8.2026e-17
10,19,0.014
11,19,0.0448
12,19,0.27
13,19,0.0317
14,19,6.17
15,19,12.43
16,19,7547039.999999999
17,19,9508304880000
18,19,3024864
19,19,458.7
20,19,0.8603
21,19,0.1824
22,19,0.0819
24,19,0.0211
25,19,1.05e-7
26,19,0.0026000000000000003
8,20,1.0000000000000001e-7
9,20,0.0033
10,20,0.0073
11,20,0.017
12,20,0.08040000000000001
13,20,0.0415
14,20,2.77
15,20,47.3
16,20,STABLE
17,20,STABLE
18,20,STABLE
19,20,STABLE
20,20,STABLE
21,20,0.5962999999999999
22,20,0.20834
23,20,0.0793
24,20,0.0428
26,20,0.013900000000000001
28,20,0.0021000000000000003
9,21,2.5000000000000004e-7
10,21,0.0034
11,21,0.0132
12,21,0.0902
13,21,0.05373
14,21,0.78
15,21,5.6
16,21,303
17,21,2234.16
18,21,8457436800
19,21,39383884800000000
20,21,3136825440000
21,21,0.68079
22,21,0.509
23,21,0.111
24,21,0.0609
25,21,0.0362
26,21,0.0219
28,21,0.0075
10,22,0.0045000000000000005
11,22,0.008199999999999999
12,22,0.0449
13,22,0.0384
14,22,0.503
15,22,2.31
16,22,10218
17,22,3372
18,22,STABLE
19,22,STABLE
20,22,STABLE
21,22,14007.6
22,22,1865054160
23,22,0.546
24,22,0.24430000000000002
25,22,0.088
26,22,0.0455
28,22,0.0176
10,23,1.8000000000000002e-7
11,23,0.0055
12,23,0.011300000000000001
13,23,0.09
14,23,0.14100000000000001
15,23,0.64
16,23,11.5
17,23,79.80000000000001
18,23,6576.6
19,23,44492.4
20,23,STABLE
21,23,14551.199999999999
22,23,11088
23,23,0.42262
24,23,0.4606
25,23,0.15769999999999998
26,23,0.06470000000000001
27,23,0.0388
28,23,0.0238
11,24,0.0024
12,24,0.007200000000000001
13,24,0.0114
14,24,0.063
15,24,0.20400000000000001
16,24,8.8
17,24,38.4
18,24,1038245040
19,24,80208
20,24,STABLE
21,24,STABLE
22,24,STABLE
23,24,1956
24,24,77616
25,24,0.38210000000000005
26,24,0.152
27,24,0.0688
28,24,0.0414
29,24,1.3e-7
30,24,0.00159
12,25,0.0064
13,25,0.009000000000000001
14,25,0.038700000000000005
15,25,0.15
16,25,2.6
17,25,6.8
18,25,322.2
19,25,1327.8
20,25,14049504.000000002
21,25,7241011.2
22,25,STABLE
23,25,1380153.6
24,25,2538
25,25,0.28319
26,25,0.305
27,25,0.111
28,25,0.055200000000000006
29,25,7.500000000000001e-8
30,25,0.0198
12,26,0.0031000000000000003
13,26,0.00723
14,26,0.0303
15,26,0.101
16,26,1.016
17,26,3.13
18,26,712.1999999999999
19,26,1067.3999999999999
20,26,STABLE
21,26,289362.24
22,26,STABLE
23,26,28512000
24,26,STABLE
25,26,2750.4
26,26,29782.8
27,26,0.244
28,26,0.1141
29,26,0.0559
30,26,0.032
13,27,0.0057
14,27,0.02
15,27,0.0485
16,27,0.265
17,27,0.542
18,27,21.48
19,27,96.31
20,27,391910.39999999997
21,27,157356
22,27,STABLE
23,27,8.465611560835857e+24
24,27,2393314.56
25,27,483062.4
26,27,510.59999999999997
27,27,0.19327000000000003
28,27,0.2039
29,27,0.0808
30,27,0.0456
32,27,0.013300000000000001
13,28,0.0035
14,28,0.015
15,28,0.0365
16,28,0.1245
17,28,0.41300000000000003
18,28,8.4
19,28,17.38
20,28,1.7672256e+27
21,28,3432
22,28,STABLE
23,28,STABLE
24,28,STABLE
25,28,114238512000000
26,28,STABLE
27,28,63108.00000000001
28,28,525398.4
29,28,0.19640000000000002
30,28,0.08600000000000001
31,28,4.3e-8
32,28,0.025
14,29,0.013000000000000001
15,29,0.0182
16,29,0.068
17,29,0.232
18,29,1.23
19,29,6.8
20,29,523.08
21,29,102.5
22,29,345.36
23,29,224.57999999999998
24,29,STABLE
25,29,26965440.000000004
26,29,86972745.6
27,29,6673190.4
28,29,128160
29,29,3.205
30,29,0.1821
31,29,0.0694
32,29,0.04070000000000001
34,29,0.0132
15,30,0.024
16,30,0.05
17,30,0.101
18,30,0.41600000000000004
19,30,1.26
20,30,13.45
21,30,12.5
22,30,102
23,30,92.22
24,30,STABLE
25,30,STABLE
26,30,STABLE
27,30,23483520
28,30,STABLE
29,30,82
30,30,144.60000000000002
31,30,0.166
32,30,0.0735
33,30,4.3e-8
34,30,0.022600000000000002
18,31,0.23600000000000002
19,31,0.47200000000000003
20,31,10
21,31,8.2
22,31,32.7
23,31,49.8
24,31,209.88000000000002
25,31,9283.68
26,31,STABLE
27,31,6124291.199999999
28,31,2554682392800
29,31,1424.3999999999999
30,31,88.8
31,31,0.116123
32,31,0.15330000000000002
33,31,0.0692
34,31,0.0342
36,31,0.0074
18,32,0.105
19,32,0.365
20,32,4.6
21,32,2.4
22,32,1.6
23,32,6.54
24,32,356.40000000000003
25,32,85.4
26,32,STABLE
27,32,STABLE
28,32,STABLE
29,32,12020.4
30,32,33094.799999999996
31,32,32.1
32,32,63.7
33,32,0.13030000000000003
34,32,0.051000000000000004
36,32,0.0216
19,33,0.11
20,33,0.461
21,33,0.526
22,33,1.3
23,33,0.218
24,33,21.1
25,33,3
26,33,3844368
27,33,166340109.6
28,33,STABLE
29,33,580.32
30,33,2302.8
31,33,157.61999999999998
32,33,30.8
33,33,0.09577
34,33,0.133
35,33,3.5e-8
36,33,0.027899999999999998
19,34,0.03
20,34,0.09
21,34,0.092
22,34,0.199
23,34,0.34700000000000003
24,34,7
25,34,4.59
26,34,82348894490400
27,34,5940
28,34,STABLE
29,34,STABLE
30,34,STABLE
31,34,908.04
32,34,8135.999999999999
33,34,42.5
34,34,35.5
35,34,2.4000000000000003e-8
36,34,0.04519
19,35,0.01
20,35,0.022
21,35,0.026000000000000002
22,35,0.094
23,35,0.192
24,35,1.05
25,35,0.28
26,35,361.8
27,35,90.6
28,35,3181006080
29,35,45722.52
30,35,21075552
31,35,33494.4
32,35,1134
33,35,151.6
34,35,27.4
35,35,0.07887999999999999
36,35,0.095
37,35,1.0300000000000001e-7
38,35,0.0233
20,36,0.011
21,36,0.02
22,36,0.055
23,36,0.096
24,36,0.49
25,36,0.709
26,36,68
27,36,26.9
28,36,STABLE
29,36,STABLE
30,36,STABLE
31,36,281793.6
32,36,23417856
33,36,912
34,36,2466
35,36,21.4
36,36,17.1
37,36,8.100000000000001e-8
38,36,0.027600000000000003
21,37,0.012
22,37,0.0285
23,37,0.122
24,37,0.243
25,37,0.092
26,37,6.1
27,37,0.3
28,37,9063
29,37,305.4
30,37,STABLE
31,37,4070.5800000000004
32,37,140040
33,37,3156
34,37,286.8
35,37,78.6
36,37,27.3
37,37,0.064777
38,37,0.0852
39,37,0.024
22,38,0.0222
23,38,0.04820000000000001
24,38,0.20600000000000002
25,38,0.277
26,38,2
27,38,1.16
28,38,196560
29,38,222516
30,38,STABLE
31,38,STABLE
